United States,,,,
number,Location,Code,Type,Amazon warehouse address
344,Georgia,RGA2,FC,"206 Washington St SW, Atlanta, GA 30334"
345,Georgia,SAV1,FC,"Georgia Ports Authority Garden City Terminal, Building CFS #2, Garden City, GA 31408"
346,Georgia,SAV3,FC,"7001 Skipper Rd., Macon, GA 312166427 , Bibb County"
347,Georgia,SGA1,,"2929 PEACHTREE RD NE, ATLANTA, GA"
348,Georgia,SUAG,,"150 Leo Taylor Ln, Ball Ground, GA"
349,Georgia,SUAX,,"394 COMMERCE BLVD, Athens, GA"
350,Georgia,SUGE,,"5975 Shiloh Road, Suite 104, Alpharetta, GA"
351,Georgia,SULE,,"100 Solutions Parkway, Thomaston, GA"
352,Georgia,SUNB,,"320 Telfair Rd, Savannah, GA"
353,Georgia,SUOL,,"305 Bucknell Court, Atlanta, GA"
354,Georgia,TBD,FC,"4995 Skipper Road, Macon, GA"
355,Georgia,TJA2,,"2302 MARIETTA BLVD NW, Atlanta, GA"
356,Georgia,UGA1,FC,"Atlanta, GA 30318"
357,Georgia,UGA2,FC,"Atlanta, GA 30318"
358,Georgia,UGA3,FC,"2160 Breckinridge Blvd Bldg 100 Suite 100, Lawrenceville, GA 30043"
359,Georgia,UGA4,,"2232 Northmont Parkway, DULUTH, GA"
360,Georgia,VUAT,FC,"6855 Shannon Pkwy, Union City, GA 30291"
361,Georgia,VUGH,,"7875 White Road, Austell, GA"
362,Georgia,VUGO,,"300 Interstate West Parkway, Austell, GA"
363,Georgia,VUKG,FC,"3201 Centre Parkway, East Point, GA 30344"
364,Georgia,VUOJ,FC,"250 Declaration Avenue, Suite 500, McDonough, GA 30253"
